driver,race,points
Nico Rosberg,Australian Grand Prix,25
Lewis Hamilton,Australian Grand Prix,18
Sebastian Vettel,Australian Grand Prix,15
Daniel Ricciardo,Australian Grand Prix,12
Felipe Massa,Australian Grand Prix,10
Romain Grosjean,Australian Grand Prix,8
Nico Hlkenberg,Australian Grand Prix,6
Valtteri Bottas,Australian Grand Prix,4
Carlos Sainz,Australian Grand Prix,2
Max Verstappen,Australian Grand Prix,1
Nico Rosberg,Bahrain Grand Prix,25
Kimi Rikknen,Bahrain Grand Prix,18
Lewis Hamilton,Bahrain Grand Prix,15
Daniel Ricciardo,Bahrain Grand Prix,12
Romain Grosjean,Bahrain Grand Prix,10
Max Verstappen,Bahrain Grand Prix,8
Daniil Kvyat,Bahrain Grand Prix,6
Felipe Massa,Bahrain Grand Prix,4
Valtteri Bottas,Bahrain Grand Prix,2
Stoffel Vandoorne,Bahrain Grand Prix,1
Nico Rosberg,Chinese Grand Prix,25
Sebastian Vettel,Chinese Grand Prix,18
Daniil Kvyat,Chinese Grand Prix,15
Daniel Ricciardo,Chinese Grand Prix,12
Kimi Rikknen,Chinese Grand Prix,10
Felipe Massa,Chinese Grand Prix,8
Lewis Hamilton,Chinese Grand Prix,6
Max Verstappen,Chinese Grand Prix,4
Carlos Sainz,Chinese Grand Prix,2
Valtteri Bottas,Chinese Grand Prix,1
Nico Rosberg,Russian Grand Prix,25
Lewis Hamilton,Russian Grand Prix,18
Kimi Rikknen,Russian Grand Prix,15
Valtteri Bottas,Russian Grand Prix,12
Felipe Massa,Russian Grand Prix,10
Fernando Alonso,Russian Grand Prix,8
Kevin Magnussen,Russian Grand Prix,6
Romain Grosjean,Russian Grand Prix,4
Sergio Prez,Russian Grand Prix,2
Jenson Button,Russian Grand Prix,1
Max Verstappen,Spanish Grand Prix,25
Kimi Rikknen,Spanish Grand Prix,18
Sebastian Vettel,Spanish Grand Prix,15
Daniel Ricciardo,Spanish Grand Prix,12
Valtteri Bottas,Spanish Grand Prix,10
Carlos Sainz,Spanish Grand Prix,8
Sergio Prez,Spanish Grand Prix,6
Felipe Massa,Spanish Grand Prix,4
Jenson Button,Spanish Grand Prix,2
Daniil Kvyat,Spanish Grand Prix,1
Lewis Hamilton,Monaco Grand Prix,25
Daniel Ricciardo,Monaco Grand Prix,18
Sergio Prez,Monaco Grand Prix,15
Sebastian Vettel,Monaco Grand Prix,12
Fernando Alonso,Monaco Grand Prix,10
Nico Hlkenberg,Monaco Grand Prix,8
Nico Rosberg,Monaco Grand Prix,6
Carlos Sainz,Monaco Grand Prix,4
Jenson Button,Monaco Grand Prix,2
Felipe Massa,Monaco Grand Prix,1
Lewis Hamilton,Canadian Grand Prix,25
Sebastian Vettel,Canadian Grand Prix,18
Valtteri Bottas,Canadian Grand Prix,15
Max Verstappen,Canadian Grand Prix,12
Nico Rosberg,Canadian Grand Prix,10
Kimi Rikknen,Canadian Grand Prix,8
Daniel Ricciardo,Canadian Grand Prix,6
Nico Hlkenberg,Canadian Grand Prix,4
Carlos Sainz,Canadian Grand Prix,2
Sergio Prez,Canadian Grand Prix,1
Nico Rosberg,European Grand Prix,25
Sebastian Vettel,European Grand Prix,18
Sergio Prez,European Grand Prix,15
Kimi Rikknen,European Grand Prix,12
Lewis Hamilton,European Grand Prix,10
Valtteri Bottas,European Grand Prix,8
Daniel Ricciardo,European Grand Prix,6
Max Verstappen,European Grand Prix,4
Nico Hlkenberg,European Grand Prix,2
Felipe Massa,European Grand Prix,1
Lewis Hamilton,Austrian Grand Prix,25
Max Verstappen,Austrian Grand Prix,18
Kimi Rikknen,Austrian Grand Prix,15
Nico Rosberg,Austrian Grand Prix,12
Daniel Ricciardo,Austrian Grand Prix,10
Jenson Button,Austrian Grand Prix,8
Romain Grosjean,Austrian Grand Prix,6
Carlos Sainz,Austrian Grand Prix,4
Valtteri Bottas,Austrian Grand Prix,2
Pascal Wehrlein,Austrian Grand Prix,1
Lewis Hamilton,British Grand Prix,25
Max Verstappen,British Grand Prix,18
Nico Rosberg,British Grand Prix,15
Daniel Ricciardo,British Grand Prix,12
Kimi Rikknen,British Grand Prix,10
Sergio Prez,British Grand Prix,8
Nico Hlkenberg,British Grand Prix,6
Carlos Sainz,British Grand Prix,4
Sebastian Vettel,British Grand Prix,2
Daniil Kvyat,British Grand Prix,1
Lewis Hamilton,Hungarian Grand Prix,25
Nico Rosberg,Hungarian Grand Prix,18
Daniel Ricciardo,Hungarian Grand Prix,15
Sebastian Vettel,Hungarian Grand Prix,12
Max Verstappen,Hungarian Grand Prix,10
Kimi Rikknen,Hungarian Grand Prix,8
Fernando Alonso,Hungarian Grand Prix,6
Carlos Sainz,Hungarian Grand Prix,4
Valtteri Bottas,Hungarian Grand Prix,2
Nico Hlkenberg,Hungarian Grand Prix,1
Lewis Hamilton,German Grand Prix,25
Daniel Ricciardo,German Grand Prix,18
Max Verstappen,German Grand Prix,15
Nico Rosberg,German Grand Prix,12
Sebastian Vettel,German Grand Prix,10
Kimi Rikknen,German Grand Prix,8
Nico Hlkenberg,German Grand Prix,6
Jenson Button,German Grand Prix,4
Valtteri Bottas,German Grand Prix,2
Sergio Prez,German Grand Prix,1
Nico Rosberg,Belgian Grand Prix,25
Daniel Ricciardo,Belgian Grand Prix,18
Lewis Hamilton,Belgian Grand Prix,15
Nico Hlkenberg,Belgian Grand Prix,12
Sergio Prez,Belgian Grand Prix,10
Sebastian Vettel,Belgian Grand Prix,8
Fernando Alonso,Belgian Grand Prix,6
Valtteri Bottas,Belgian Grand Prix,4
Kimi Rikknen,Belgian Grand Prix,2
Felipe Massa,Belgian Grand Prix,1
Nico Rosberg,Italian Grand Prix,25
Lewis Hamilton,Italian Grand Prix,18
Sebastian Vettel,Italian Grand Prix,15
Kimi Rikknen,Italian Grand Prix,12
Daniel Ricciardo,Italian Grand Prix,10
Valtteri Bottas,Italian Grand Prix,8
Max Verstappen,Italian Grand Prix,6
Sergio Prez,Italian Grand Prix,4
Felipe Massa,Italian Grand Prix,2
Nico Hlkenberg,Italian Grand Prix,1
Nico Rosberg,Singapore Grand Prix,25
Daniel Ricciardo,Singapore Grand Prix,18
Lewis Hamilton,Singapore Grand Prix,15
Kimi Rikknen,Singapore Grand Prix,12
Sebastian Vettel,Singapore Grand Prix,10
Max Verstappen,Singapore Grand Prix,8
Fernando Alonso,Singapore Grand Prix,6
Sergio Prez,Singapore Grand Prix,4
Daniil Kvyat,Singapore Grand Prix,2
Kevin Magnussen,Singapore Grand Prix,1
Daniel Ricciardo,Malaysian Grand Prix,25
Max Verstappen,Malaysian Grand Prix,18
Nico Rosberg,Malaysian Grand Prix,15
Kimi Rikknen,Malaysian Grand Prix,12
Valtteri Bottas,Malaysian Grand Prix,10
Sergio Prez,Malaysian Grand Prix,8
Fernando Alonso,Malaysian Grand Prix,6
Nico Hlkenberg,Malaysian Grand Prix,4
Jenson Button,Malaysian Grand Prix,2
Jolyon Palmer,Malaysian Grand Prix,1
Nico Rosberg,Japanese Grand Prix,25
Max Verstappen,Japanese Grand Prix,18
Lewis Hamilton,Japanese Grand Prix,15
Sebastian Vettel,Japanese Grand Prix,12
Kimi Rikknen,Japanese Grand Prix,10
Daniel Ricciardo,Japanese Grand Prix,8
Sergio Prez,Japanese Grand Prix,6
Nico Hlkenberg,Japanese Grand Prix,4
Felipe Massa,Japanese Grand Prix,2
Valtteri Bottas,Japanese Grand Prix,1
Lewis Hamilton,United States Grand Prix,25
Nico Rosberg,United States Grand Prix,18
Daniel Ricciardo,United States Grand Prix,15
Sebastian Vettel,United States Grand Prix,12
Fernando Alonso,United States Grand Prix,10
Carlos Sainz,United States Grand Prix,8
Felipe Massa,United States Grand Prix,6
Sergio Prez,United States Grand Prix,4
Jenson Button,United States Grand Prix,2
Romain Grosjean,United States Grand Prix,1
Lewis Hamilton,Mexican Grand Prix,25
Nico Rosberg,Mexican Grand Prix,18
Daniel Ricciardo,Mexican Grand Prix,15
Max Verstappen,Mexican Grand Prix,12
Sebastian Vettel,Mexican Grand Prix,10
Kimi Rikknen,Mexican Grand Prix,8
Nico Hlkenberg,Mexican Grand Prix,6
Valtteri Bottas,Mexican Grand Prix,4
Felipe Massa,Mexican Grand Prix,2
Sergio Prez,Mexican Grand Prix,1
Lewis Hamilton,Brazilian Grand Prix,25
Nico Rosberg,Brazilian Grand Prix,18
Max Verstappen,Brazilian Grand Prix,15
Sergio Prez,Brazilian Grand Prix,12
Sebastian Vettel,Brazilian Grand Prix,10
Carlos Sainz,Brazilian Grand Prix,8
Nico Hlkenberg,Brazilian Grand Prix,6
Daniel Ricciardo,Brazilian Grand Prix,4
Felipe Nasr,Brazilian Grand Prix,2
Fernando Alonso,Brazilian Grand Prix,1
Lewis Hamilton,Abu Dhabi Grand Prix,25
Nico Rosberg,Abu Dhabi Grand Prix,18
Sebastian Vettel,Abu Dhabi Grand Prix,15
Max Verstappen,Abu Dhabi Grand Prix,12
Daniel Ricciardo,Abu Dhabi Grand Prix,10
Kimi Rikknen,Abu Dhabi Grand Prix,8
Nico Hlkenberg,Abu Dhabi Grand Prix,6
Sergio Prez,Abu Dhabi Grand Prix,4
Felipe Massa,Abu Dhabi Grand Prix,2
Fernando Alonso,Abu Dhabi Grand Prix,1
